site_id,cdc_site_id,reporting_jurisdiction,county,county_names,zipcode,il_covid_region,city,epaid,wwtp_name,actual_avg_facility_flow_mgd,other_jurisdiction,gps_coordinates_lat,gps_coordinates_long,sample_location,sample_location_specify,institution_type,population_served,capacity_mgd,industrial_input,stormwater_input,influent_equilibrated,actively_submitting_samples,primary_project,in_assay_report,secondary_project,wwtp_jurisdiction,pretreatment,pretreatment_specify,collection_schedule,notes,Record_Date,Record_Creator
S0002,17089-001-01-00-00,IL,Kane,17089,60510,8,Batavia,IL0022543,BATAVIA WWTF,4.2,,41.84879123,-88.30760847,wwtp,,,11290,9.81,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0003,17017-001-01-00-00,IL,Cass,17017,62618,3,Beardstown,IL0025135,BEARDSTOWN SD STP,1.13,,40.0108059,-90.4410373,wwtp,,,5446,2.82,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0004,17163-001-01-00-00,IL,St. Clair,17163,62220,4,Belleville,IL0021873,BELLEVILLE STP 1 - East,8,,38.498669,-89.97898942,wwtp,,,26150,16,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0005,17163-001-02-00-00,IL,St. Clair,17163,62220,4,Belleville,IL0021873,BELLEVILLE STP 1 - West,8,,38.498669,-89.97898942,wwtp,,,26150,16,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0006,17007-001-01-00-00,IL,Boone,17007,61008,1,Belvidere,IL0027685,BELVIDERE STP,2.8,,42.25577829,-88.8645102,wwtp,,,25134,5.9,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0007,17113-001-01-00-00,IL,McLean,17113,61745,2,Bloomington,IL0073504,BLOOMINGTON-NORMAL WRD SE WWTP - South Plant 4,7.5,,40.47139758,-89.02515704,wwtp,,,42000,16.9,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0008,17113-002-01-00-00,IL,McLean,17113,61702,2,Bloomington,IL0027731,BLOOMINGTON/NORMAL WRD STP - West Plant 1,22.5,,40.47139758,-89.02515704,wwtp,,,44238,45,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0009,17113-003-01-00-00,IL,McLean,17113,61702,2,Bloomington,IL0027731,BLOOMINGTON/NORMAL WRD STP - West Plant 3,22.5,,40.47139758,-89.02515704,wwtp,,,44237,45,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0010,17061-001-01-00-00,IL,Greene,17061,62016,3,Carrollton,IL0021679,CARROLLTON STP,0.38,,39.29274524,-90.40699235,wwtp,,,3064,0.96,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0012,17113-004-01-00-00,IL,McLean,17113,61726,2,Chenoa,ILG582009,CHENOA STP,0.26,,40.74397631,-88.71988699,wwtp,,,2056,0.658,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0014,17021-001-01-00-00,IL,Christian,17021,62568,3,Taylorville,IL0031356,CHRISTIAN COUNTY WRD STP,3.02,,39.56026504,-89.31056392,wwtp,,,12663,6.13,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
S0015,17057-001-01-00-00,IL,Fulton,17057,61520,2,Canton,IL0027839,CANTON WEST STP,3.43,,40.5468952,-90.0426019,wwtp,,,13506,8.34,,,,active,IDPH,,,IL,,,,,8/30/2022 15:53,Melissa Pierce
