lineage_id,variant_name,alias_id
B.1.1.529,Omicron,BA
B.1.1.529.1,Omicron,BA.1
B.1.1.529.2,Omicron,BA.2
B.1.1.529.3,Omicron,BA.3
B.1.1.529.4,Omicron,BA.4
B.1.1.529.5,Omicron,BA.5
B.1.1.7,Alpha,Q
B.1.351,Beta,NA
B.1.1.28,Gamma,P.1
B.1.1.28.1,Gamma,P.1
B.1.617.2,Delta,AY
XBB.1.9.1,Omicron,FL
XBB.1.9.2,Omicron,EG
XBB.2.3,Omicron,NA
XBB.1.16,Omicron,NA
XBB.1.5,Omicron,NA
B.1.1.529.2.75.3.4.1.1.1,Omicron,CH.1.1
B.1.1.529.2.74,Omicron,BA.2.74
B.1.1.529.2.86,Omicron,BA.2.86
B.1.427,Epsilon,NA
B.1.429,Epsilon,NA
B.1.525,Eta,NA
B.1.526,Iota,NA
B.1.617.1,Kappa,NA
B.1.1.28.2,Zeta,P.2
B.1.621,Mu,NA
B.1.621.1,Mu,NA
