wwtp_name,pretty_name,site_type,needs_confirmation
ANNA STP,Anna STP,wwtp,
Annie Glidden Lift Station,Annie Glidden Lift Station,lift_station,*
BATAVIA WWTF,Batavia WWTF,wwtp,
BEARDSTOWN SD STP,Beardstown SD STP,wwtp,
BELLEVILLE STP #1 - East,Belleville STP 1 East,wwtp,
BELLEVILLE STP #1 - West,Belleville STP 1 West,wwtp,
BELLEVILLE STP 1 - East,Belleville STP 1 East,wwtp,
BELLEVILLE STP 1 - West,Belleville STP 1 West,wwtp,
BELVIDERE STP,Belvidere STP,wwtp,
BLOOMINGTON-NORMAL WRD SE WWTP - South Plant 4,Bloomington-Normal WRD Southeast WWTP 4,wwtp,
BLOOMINGTON-NORMAL WRD STP - West Plant 1,Bloomington-Normal WRD West WWTP 1,wwtp,
BLOOMINGTON-NORMAL WRD STP - West Plant 3,Bloomington-Normal WRD West WWTP 3,wwtp,
BLOOMINGTON/NORMAL WRD STP - West Plant 1,Bloomington-Normal WRD West WWTP 1,wwtp,
BLOOMINGTON/NORMAL WRD STP - West Plant 3,Bloomington-Normal WRD West WWTP 3,wwtp,
Building 605,UIC Building 605,building_outflow,*
Building 630,UIC Building 630,building_outflow,*
Building 644,UIC Building 644,building_outflow,*
Building 664,UIC Building 664,building_outflow,*
Building 937,UIC Building 937,building_outflow,*
Building 951,UIC Building 951,building_outflow,*
Building 953,UIC Building 953,building_outflow,*
CANTON WEST STP,Canton West STP,wwtp,
CAROL STREAM WRC,Carol Stream WRC,wwtp,
CARROLLTON STP,Carrollton STP,wwtp,
CCJ- CDWM sewer,CCJ CDWM Sewer,sewer,*
CCJ- Cermak N,CCJ Cermak North,building_outflow,
CCJ- Cermak S,CCJ Cermak South,building_outflow,
CCJ- Division 10,CCJ Division 10,building_outflow,
CCJ- Division 11 (Pod A),CCJ Division 11 Pod A,building_outflow,
CCJ- Division 11 (Pod B),CCJ Division 11 Pod B,building_outflow,
CCJ- Division 11 (Pod C),CCJ Division 11 Pod C,building_outflow,
CCJ- Division 11 (Pod D),CCJ Division 11 Pod D,building_outflow,
CCJ- Division 16 (Bootcamp),CCJ Division 16 Bootcamp,building_outflow,
CCJ- Division 2,CCJ Division 2,building_outflow,
CCJ- Division 2-Dorm 2,CCJ Division 2 Dorm 2,building_outflow,
CCJ- Division 3 -Annex,CCJ Division 3 Annex,building_outflow,
CCJ- Division 4,CCJ Division 4,building_outflow,
CCJ- Division 5,CCJ Division 5,building_outflow,
CCJ- Division 6,CCJ Division 6,building_outflow,
CCJ- Division 6 (South),CCJ Division 6 South,building_outflow,
CCJ- Division 8 (RTU),CCJ Division 8 RTU,building_outflow,
CCJ- Division 9,CCJ Division 9,building_outflow,
CCJ - UNKNOWN,CCJ Unknown,building_outflow,
CENTRALIA STP,Centralia STP,wwtp,
CHENOA STP,Chenoa STP,wwtp,
CHESTER STP,Chester STP,wwtp,
CHRISTIAN COUNTY WRD STP,Christian County WRD STP,wwtp,
CITY OF O'FALLON STP,O'Fallon STP,wwtp,
City of O’Fallon STP,O'Fallon STP,wwtp,
City of OFallon STP,O'Fallon STP,wwtp,
CITY OF OFALLON STP,O'Fallon STP,wwtp,
Cook County Jail- Div 8,CCJ Division 8 RTU,building_outflow,
CRYSTAL LAKE STP 2,Crystal Lake STP 2,wwtp,
CRYSTAL LAKE WWTP 3,Crystal Lake STP 3,wwtp,
DANVILLE SD,Danville SD,wwtp,
DCDPW-WOODRIDGE-GREEN VALLEY STP,Woodridge-Greene Valley STP,wwtp,
DECATUR SD MAIN STP,Decatur SD Main STP,wwtp,
DIXON STP,Dixon STP,wwtp,
DOWNERS GROVE S.D. - WASTEWATER TREATMENT CENTER,Downer's Grove SD WWTC,wwtp,
DU QUOIN STP,Du Quoin STP,wwtp,
DUPAGE COUNTY PUBLIC WORKS KNOLLWOOD STP,Knollwood STP,wwtp,
Edison Elementary School – Parking Lot,Edison Elementary School Parking Lot,building_outflow,*
Edison Elementary School – Pump Station,Edison Elementary School Pump Station,lift_station,*
Edison Elementary School – Pump Station,Edison Elementary School Pump Station,lift_station,*
